EA_REGION,BW_ref,Name,de_des_yr,bb_xmax,bb_xmin,bb_ymax,bb_ymin,_zmax,_zmin
NW,45600,Seascale,,304268.22300460096,302113.66023945436,502426.9580110945,500056.0738956053,0,0
NW,45625,"Windermere, Lakeside YMCA",,337674,337489.5724393921,489957.00000000186,489795.00000000186,0,0
NW,45650,"Windermere, Millerground Landing",,340235.9998468142,340110.00000000093,498899.00000000186,498785.00000000186,0,0
NW,45700,"Windermere, Fellfoot",,338183.88811392337,337867.4235021984,487253.5050435234,486921.09178927727,0,0
NW,45920,St Bees,,297044.9479585653,295326.39166736417,511944.6861007679,510530.76791898906,0,0
NW,46000,Allonby South,2019,308190.7612814149,305883.0000282563,541784.9998073913,539461.0152308773,0,0
NW,46100,Allonby,,308629.99226163886,306318.00002812594,544716.9998065103,541539.3276738916,0,0
NW,46300,Silloth,2018,311158.2486622771,308415.7332468964,554159.1834459454,552391.5465748422,0,0
SE,11760,Cotswold Country Park and Beach,,403137.4269723771,402631.2402162431,195945.50297151692,195145.06944250874,0,0
SE,11770,Shoebury East,,597065.1462149043,594159.7566975253,185534.88556838036,182143.9531006515,0,0
SE,11780,Shoeburyness,,593123.1765481709,590908.2095735604,184396.3586978875,182248.66478963383,0,0
SE,11800,Southend Thorpe Bay,,591634.1543199401,589466.1917143799,184815.28952055797,182733.1341915056,0,0
SE,11830,Southend Jubilee,,589597.4983110903,588630.0047431011,185038.25175531954,183215.94316982478,0,0
SE,11850,Southend Three Shells,,588749.8300461378,587430.3571275137,185067.41104220413,183608.70252870955,0,0
SE,11900,Southend Westcliff Bay,,587026.758035168,585902.6820840482,185318.90277579427,184151.95186798275,0,0
SE,11902,Southend Chalkwell,,585959.8430992914,584863.469168649,185580.24999675155,184344.2265996989,0,0
SE,11904,Leigh Bell Wharf,,584882.4905378008,583430.5111281136,185753.1597917825,184154.85537147708,0,0
SE,11910,Hampstead Heath (Ladies Pond),,527641.6277533611,527555.6599577451,187042.29581305012,186883.00254469737,0,0
SE,11920,Hampstead Heath (Mens Pond),,527969.287790548,527765.8254066203,186596.1666751597,186430.236187296,0,0
SE,11930,Hampstead Heath (Mixed Pond),,527366.2162075648,527091.1905233366,186313.94324856624,186044.1876637861,0,0
SE,11940,The Serpentine - Hyde Park,,527797.4260319304,526910.3646068508,180203.287127411,179938.465031825,0,0
